1,480,540,30,,
2,480,540,30,,
3,480,540,30,,
4,480,540,30,,
10,1140,630,30,80,0
10,1260,630,30,80,0
10,1200,570,30,150,90
12,890,630,30,80,0
12,1010,630,30,80,0
12,950,570,30,150,90
12,890,520,30,80,0
12,1010,520,30,80,0
12,950,470,30,150,90
12,890,390,30,80,0
12,1010,390,30,80,0
12,950,350,30,150,90
11,1300,630,30,80,0
11,1410,630,30,80,0
11,1355,570,30,150,90
12,1200,520,30,80,0
12,1350,520,30,80,0
12,1275,470,30,150,90
20,1270,520,30,30,0
20,1370,640,30,30,0
20,1200,640,30,30,0
20,950,420,30,30,0
0,s,862.358887
jyyyy,0.000000
jyyy,0.000000
s,0.000000
